nohup: ignoring input
time=2025-06-24T05:49:12.422-04:00 level=INFO source=routes.go:1235 msg="server config" env="map[CUDA_VISIBLE_DEVICES: GPU_DEVICE_ORDINAL: HIP_VISIBLE_DEVICES: HSA_OVERRIDE_GFX_VERSION: HTTPS_PROXY: HTTP_PROXY: NO_PROXY: OLLAMA_CONTEXT_LENGTH:4096 OLLAMA_DEBUG:INFO OLLAMA_FLASH_ATTENTION:false OLLAMA_GPU_OVERHEAD:0 OLLAMA_HOST:http://0.0.0.0:11434 OLLAMA_INTEL_GPU:false OLLAMA_KEEP_ALIVE:5m0s OLLAMA_KV_CACHE_TYPE: OLLAMA_LLM_LIBRARY: OLLAMA_LOAD_TIMEOUT:5m0s OLLAMA_MAX_LOADED_MODELS:0 OLLAMA_MAX_QUEUE:512 OLLAMA_MODELS:/home/algo/.ollama/models OLLAMA_MULTIUSER_CACHE:false OLLAMA_NEW_ENGINE:false OLLAMA_NOHISTORY:false OLLAMA_NOPRUNE:false OLLAMA_NUM_PARALLEL:0 OLLAMA_ORIGINS:[http://localhost https://localhost http://localhost:* https://localhost:* http://127.0.0.1 https://127.0.0.1 http://127.0.0.1:* https://127.0.0.1:* http://0.0.0.0 https://0.0.0.0 http://0.0.0.0:* https://0.0.0.0:* app://* file://* tauri://* vscode-webview://* vscode-file://*] OLLAMA_SCHED_SPREAD:false ROCR_VISIBLE_DEVICES: http_proxy: https_proxy: no_proxy:]"
time=2025-06-24T05:49:12.422-04:00 level=INFO source=images.go:480 msg="total blobs: 0"
time=2025-06-24T05:49:12.422-04:00 level=INFO source=images.go:487 msg="total unused blobs removed: 0"
time=2025-06-24T05:49:12.422-04:00 level=INFO source=routes.go:1288 msg="Listening on [::]:11434 (version 0.9.2)"
time=2025-06-24T05:49:12.422-04:00 level=INFO source=gpu.go:217 msg="looking for compatible GPUs"
time=2025-06-24T05:49:12.731-04:00 level=INFO source=types.go:130 msg="inference compute" id=GPU-8940ac52-a44f-5a33-68d5-a0c3a734bf01 library=cuda variant=v12 compute=8.9 driver=12.9 name="NVIDIA GeForce RTX 4090" total="23.5 GiB" available="20.5 GiB"
time=2025-06-24T05:49:12.731-04:00 level=INFO source=types.go:130 msg="inference compute" id=GPU-bf1a509b-f3b8-a5af-98af-f8ba895a75ac library=cuda variant=v12 compute=8.9 driver=12.9 name="NVIDIA GeForce RTX 4090" total="23.5 GiB" available="20.5 GiB"
[GIN] 2025/06/24 - 05:49:45 | 404 |    4.394711ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    4.240619ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |     4.29048ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    3.639374ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    3.923307ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    4.633403ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    4.532182ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    4.203649ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    4.068948ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    3.867936ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |     4.32945ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    3.925786ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |     4.36226ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    3.839425ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    3.980637ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    3.723994ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    4.155648ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    4.191319ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    4.049958ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    3.764906ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    4.771895ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    4.732934ms |   192.168.7.179 | POST     "/v1/chat/completions"
